meeting_id,topic,normalized_topic
01KQADC32D89E2B76B698E84,patch deployment,patch deployment
01KQADF3D76E82BF8BA19AF2,product launch,product launch
01KQADF3D76E82BF8BA19AF2,qa coverage,qa coverage
01KQADF3D76E82BF8BA19AF2,customer churn,customer churn
01KQADF3D76E82BF8BA19AF2,upsell opportunity,upsell opportunity
01KQADF3D76E82BF8BA19AF2,technical issue,technical issue
01KQADF3D76E82BF8BA19AF2,roadmap planning,roadmap planning
01KQAEA50436D047BC39CFC7,renewal,renewal
01KQAEA50436D047BC39CFC7,pricing,pricing
01KQAEA50436D047BC39CFC7,compliance roadmap,compliance roadmap
01KQAEA50436D047BC39CFC7,data backup,data backup
01KQAEA50436D047BC39CFC7,threat detection,threat detection
01KQAEA50436D047BC39CFC7,support issue,support issue
01KQAFB8DBF6E1E2FDEF0B75,soc 2 compliance,soc 2 compliance
01KQAFB8DBF6E1E2FDEF0B75,audit preparation,audit preparation
01KQAFB8DBF6E1E2FDEF0B75,evidence collection,evidence collection
01KQAFB8DBF6E1E2FDEF0B75,multi-framework compliance,multi-framework compliance
01KQAFB8DBF6E1E2FDEF0B75,onboarding,onboarding
01KQAFB8DBF6E1E2FDEF0B75,pci dss,pci dss
01KQB3B16F255B65F39597D0,design review,design review
01KQB3B16F255B65F39597D0,compliance reporting,compliance reporting
01KQB3B16F255B65F39597D0,multi-framework support,multi-framework support
01KQB3B16F255B65F39597D0,pdf export,pdf export
01KQB3B16F255B65F39597D0,performance testing,performance testing
01KQB3B16F255B65F39597D0,roadmap planning,roadmap planning
01KQB632F1ADC378C42F2C03,billing discrepancy,billing discrepancy
01KQB632F1ADC378C42F2C03,proration error,proration error
01KQB632F1ADC378C42F2C03,license upgrade,license upgrade
01KQB632F1ADC378C42F2C03,compliance reporting,compliance reporting
01KQB632F1ADC378C42F2C03,credit request,credit request
01KQB632F1ADC378C42F2C03,product features,product features
01KQB95605C6F873C6036285,pci dss compliance,pci dss compliance
01KQB95605C6F873C6036285,audit preparation,audit preparation
01KQB95605C6F873C6036285,multi-framework reporting,multi-framework reporting
01KQB95605C6F873C6036285,product demo,product demo
01KQB95605C6F873C6036285,detect outage follow-up,detect outage follow-up
01KQB95605C6F873C6036285,soc 2,soc 2
01KQBB7C4D4789DB2F3DA9C2,siem integration,siem integration
01KQBB7C4D4789DB2F3DA9C2,technical issue,technical issue
01KQBB7C4D4789DB2F3DA9C2,compliance,compliance
01KQBB7C4D4789DB2F3DA9C2,support response time,support response time
01KQBB7C4D4789DB2F3DA9C2,product bug,product bug
01KQBB7C4D4789DB2F3DA9C2,documentation gap,documentation gap
01KQBBF753B44DE677670E6D,alert latency,alert latency
01KQBBF753B44DE677670E6D,incident communication failure,incident communication failure
01KQBBF753B44DE677670E6D,platform outage,platform outage
01KQBBF753B44DE677670E6D,regulatory compliance,regulatory compliance
01KQBBF753B44DE677670E6D,infrastructure rebalancing,infrastructure rebalancing
01KQBBF753B44DE677670E6D,product gap,product gap
01KQC1267BEB344076DD7656,outage post-mortem,outage post-mortem
01KQC1267BEB344076DD7656,renewal,renewal
01KQC1267BEB344076DD7656,platform reliability,platform reliability
01KQC1267BEB344076DD7656,compliance,compliance
01KQC1267BEB344076DD7656,competitive evaluation,competitive evaluation
01KQC1267BEB344076DD7656,configuration review,configuration review
01KQC166F678CBA584AAFF8B,provisioning sync delay,provisioning sync delay
01KQC166F678CBA584AAFF8B,identity policy propagation,identity policy propagation
01KQC166F678CBA584AAFF8B,shared cluster performance,shared cluster performance
01KQC166F678CBA584AAFF8B,support response time,support response time
01KQC166F678CBA584AAFF8B,renewal risk,renewal risk
01KQC166F678CBA584AAFF8B,compliance requirements,compliance requirements
01KQC3A2EBC501837E973B16,onboarding,onboarding
01KQC3A2EBC501837E973B16,sso configuration,sso configuration
01KQC3A2EBC501837E973B16,mfa policy,mfa policy
01KQC3A2EBC501837E973B16,identity access management,identity access management
01KQC3A2EBC501837E973B16,contractor access controls,contractor access controls
01KQC3A2EBC501837E973B16,okta migration,okta migration
01KQCA6EA8B603EBB6C9FE34,shared workstation session management,shared workstation session management
01KQCA6EA8B603EBB6C9FE34,mfa policy exceptions,mfa policy exceptions
01KQCA6EA8B603EBB6C9FE34,sso integration,sso integration
01KQCA6EA8B603EBB6C9FE34,rbac enhancements,rbac enhancements
01KQCA6EA8B603EBB6C9FE34,renewal,renewal
01KQCA6EA8B603EBB6C9FE34,feature request,feature request
01KQCF9872BF130D33B1B5EC,launch readiness,launch readiness
01KQCF9872BF130D33B1B5EC,qa sign-off,qa sign-off
01KQCF9872BF130D33B1B5EC,compliance reporting,compliance reporting
01KQCF9872BF130D33B1B5EC,safari bug,safari bug
01KQCF9872BF130D33B1B5EC,hipaa validation,hipaa validation
01KQCF9872BF130D33B1B5EC,incident communications,incident communications
01KQD1270E98A7DFC55ADCF8,performance degradation,performance degradation
01KQD1270E98A7DFC55ADCF8,architecture scalability,architecture scalability
01KQD1270E98A7DFC55ADCF8,technical debt,technical debt
01KQD1270E98A7DFC55ADCF8,incident risk,incident risk
01KQD1270E98A7DFC55ADCF8,sales alignment,sales alignment
01KQD1270E98A7DFC55ADCF8,backup infrastructure,backup infrastructure
01KQD199788883B6F18C81E8,renewal,renewal
01KQD199788883B6F18C81E8,compliance,compliance
01KQD199788883B6F18C81E8,incident review,incident review
01KQD199788883B6F18C81E8,product roadmap,product roadmap
01KQD199788883B6F18C81E8,identity management,identity management
01KQD199788883B6F18C81E8,ot security,ot security
01KQD4D9DEBA2D55AC2AA9F5,renewal,renewal
01KQD4D9DEBA2D55AC2AA9F5,compliance,compliance
01KQD4D9DEBA2D55AC2AA9F5,product launch,product launch
01KQD4D9DEBA2D55AC2AA9F5,upsell,upsell
01KQD4D9DEBA2D55AC2AA9F5,technical incident,technical incident
01KQD4D9DEBA2D55AC2AA9F5,healthcare,healthcare
01KQDD5172176D02DB51360A,api outage,api outage
01KQDD5172176D02DB51360A,backup failure,backup failure
01KQDD5172176D02DB51360A,hipaa compliance,hipaa compliance
01KQDD5172176D02DB51360A,healthcare data,healthcare data
01KQDD5172176D02DB51360A,incident communication,incident communication
01KQDD5172176D02DB51360A,escalation,escalation
01KQE110900B8A65D80AE694,incident review,incident review
01KQE110900B8A65D80AE694,pipeline failure,pipeline failure
01KQE110900B8A65D80AE694,infrastructure reliability,infrastructure reliability
01KQE110900B8A65D80AE694,health checks,health checks
01KQE110900B8A65D80AE694,chaos engineering,chaos engineering
01KQE110900B8A65D80AE694,post-mortem,post-mortem
01KQEDB92E33CF9945A7F71B,outage,outage
01KQEDB92E33CF9945A7F71B,platform reliability,platform reliability
01KQEDB92E33CF9945A7F71B,threat monitoring,threat monitoring
01KQEDB92E33CF9945A7F71B,churn risk,churn risk
01KQEDB92E33CF9945A7F71B,incident response,incident response
01KQEDB92E33CF9945A7F71B,service credit,service credit
01KQEDE682B4A8D67C657CF1,false positives,false positives
01KQEDE682B4A8D67C657CF1,patch management,patch management
01KQEDE682B4A8D67C657CF1,behavioral detection,behavioral detection
01KQEDE682B4A8D67C657CF1,customer retention risk,customer retention risk
01KQEDE682B4A8D67C657CF1,incident communication,incident communication
01KQEDE682B4A8D67C657CF1,baseline configuration,baseline configuration
01KQF9600A904ADE8605B3F0,sprint retrospective,sprint retrospective
01KQF9600A904ADE8605B3F0,reliability engineering,reliability engineering
01KQF9600A904ADE8605B3F0,circuit breaker implementation,circuit breaker implementation
01KQF9600A904ADE8605B3F0,monitoring gaps,monitoring gaps
01KQF9600A904ADE8605B3F0,incident response,incident response
01KQF9600A904ADE8605B3F0,knowledge sharing,knowledge sharing
01KQFEEFFF8E80B0DFD10880,soc 2 type ii audit,soc 2 type ii audit
01KQFEEFFF8E80B0DFD10880,compliance,compliance
01KQFEEFFF8E80B0DFD10880,incident response,incident response
01KQFEEFFF8E80B0DFD10880,audit evidence packaging,audit evidence packaging
01KQFEEFFF8E80B0DFD10880,product dogfooding,product dogfooding
01KQFEEFFF8E80B0DFD10880,customer renewals,customer renewals
01KQFFC0F889AE8CFEE7A00D,renewal,renewal
01KQFFC0F889AE8CFEE7A00D,compliance reporting,compliance reporting
01KQFFC0F889AE8CFEE7A00D,incident post-mortem,incident post-mortem
01KQFFC0F889AE8CFEE7A00D,product expansion,product expansion
01KQFFC0F889AE8CFEE7A00D,identity management,identity management
01KQFFC0F889AE8CFEE7A00D,early access,early access
